,id,is_bjork_inspo,title,artist,album,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
0,1EfdsCcge41LcPtSpkZJ50,True,Sat In Your Lap,Kate Bush,The Dreaming,['Kate Bush'],0.69,0.64,8,-9.981,0,0.0842,0.519,2.55e-05,0.0545,0.796,145.74,209333,3,168,10,814
1,4Yq4yADeZFQIFFUHN8n4Qe,True,There Goes A Tenner,Kate Bush,The Dreaming,['Kate Bush'],0.828,0.346,7,-17.82,0,0.0582,0.658,1.28e-05,0.22,0.78,122.877,205173,4,103,8,732
2,4oZ8RZuO1VHtCEunEX3DI1,True,Pull Out The Pin,Kate Bush,The Dreaming,['Kate Bush'],0.591,0.431,7,-16.228,1,0.0624,0.649,0.000421,0.121,0.684,114.806,326693,4,155,13,1244
3,1VsQhQbF4SwVvbbFeQ5EOa,True,Suspended In Gaffa,Kate Bush,The Dreaming,['Kate Bush'],0.674,0.31,9,-15.314,0,0.0326,0.552,0.0,0.0947,0.69,105.235,235107,4,98,13,858
4,0kKTQw3I0XCapdtY48NpRf,True,Leave It Open,Kate Bush,The Dreaming,['Kate Bush'],0.59,0.482,0,-13.997,1,0.0754,0.397,4.39e-06,0.118,0.798,91.95,200360,4,75,9,677
5,0y05aJ6eL8uM1D4to2dlyu,True,The Dreaming,Kate Bush,The Dreaming,['Kate Bush'],0.475,0.428,2,-14.754,1,0.128,0.241,0.00192,0.0808,0.4,112.537,253933,4,110,12,868
6,3utyQIJHaYmVOdidr11AQi,True,Night Of The Swallow,Kate Bush,The Dreaming,['Kate Bush'],0.434,0.32,11,-15.761,0,0.0836,0.482,0.0,0.111,0.281,131.131,323400,3,183,11,1109
7,3hb9ZfsuhcN37mhqLdaZdc,True,All The Love,Kate Bush,The Dreaming,['Kate Bush'],0.41,0.167,10,-20.08,0,0.0365,0.886,0.000359,0.0813,0.224,114.215,269693,4,122,10,820
8,577q4grT3tMEPg1ElFlW5y,True,Houdini,Kate Bush,The Dreaming,['Kate Bush'],0.377,0.124,1,-19.974,0,0.0491,0.859,7.97e-06,0.13,0.231,87.981,229507,4,81,11,754
9,5YsEglADppBRUYCIIvnglm,True,Get Out Of My House,Kate Bush,The Dreaming,['Kate Bush'],0.514,0.623,8,-14.176,0,0.0518,0.481,0.0042,0.173,0.51,101.64,325293,4,136,13,1139
10,2ZJguaEPodKZ1kYvCsO6Gv,True,"Tehillim: I. Psalm 19:2-5, ""Hashamyim mehsapehrim kavohd Kail""",Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.363,0.262,2,-16.177,0,0.0346,0.98,0.000876,0.117,0.642,137.544,673133,4,429,35,2496
11,1KIfXS8jco6i3shn8S0XNZ,True,"Tehillim: II. Psalm 34:13-15, ""Mihaish heychahfaytz chayyim""",Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.283,0.39,8,-14.141,0,0.0338,0.96,0.712,0.302,0.57,178.088,352093,4,258,20,1192
12,3bZweoFBLYlnHLiLeTv9Yt,True,"Tehillim: III. Psalm 18:26-27, ""Imchahsid, titchahsahd""",Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.0729,0.0229,1,-25.111,0,0.0413,0.991,0.875,0.0925,0.0382,79.051,467440,4,198,25,1146
13,1stAhrX4rboS0FRhb5KYsp,True,"Tehillim: IV. Psalm 150:4-6, ""Halleluhu batof umachol""",Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.207,0.304,2,-13.47,0,0.0325,0.979,0.258,0.161,0.218,180.743,359227,4,198,13,1173
14,6qkJgUpzdiMRDWZe0FZnxr,True,The Desert Music: I. Fast,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.488,0.48,8,-13.498,1,0.0331,0.978,0.373,0.154,0.039,103.852,429133,3,247,23,1901
15,3SLTCOdH2H9FvdOwZLDerB,True,The Desert Music: II. Moderate,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.515,0.43,1,-11.948,0,0.033,0.947,0.0226,0.209,0.0804,145.936,351067,4,212,20,1229
16,3ecDeaswhCU1a5vNazC2GJ,True,The Desert Music: III. Part I: Slow,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.334,0.0755,5,-18.037,0,0.0306,0.991,0.0826,0.14,0.0337,76.086,415400,3,179,19,1401
17,1RXliwG2j4vJUqaoU5MLqg,True,The Desert Music: III. Part II: Moderate,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.436,0.367,6,-10.189,0,0.0274,0.987,0.000149,0.157,0.036,146.134,312400,4,191,13,1060
18,54O8WjSQmGCnGRnka7ROCr,True,The Desert Music: III. Part III: Slow,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.407,0.128,2,-15.587,1,0.0267,0.977,0.0156,0.144,0.0337,75.92,358573,3,151,18,1134
19,1OLDQ9XQhiyQCM6IpuH0Go,True,The Desert Music: IV. Moderate,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.523,0.359,1,-12.552,0,0.0338,0.989,0.464,0.192,0.057,145.956,183000,5,112,11,630
20,2NiiOo72QVtGGlzDtBg1wP,True,The Desert Music: V. Fast,Steve Reich,Steve Reich: Tehillim / The Desert Music,"['Steve Reich', 'Alarm Will Sound', 'Ossia', 'Alan Pierson']",0.361,0.3,7,-13.845,0,0.0368,0.978,0.581,0.109,0.0283,104.037,578627,3,344,29,2117
21,3lOAX3KoPxPgNiFezXUZhk,True,Symphony No.10 in F sharp (unfinished) - Ed. Deryck Cooke: 1. Adagio,Gustav Mahler,Mahler: Symphony No.10,"['Gustav Mahler', 'Wiener Philharmoniker', 'Daniel Harding']",0.144,0.0324,6,-25.554,1,0.0408,0.86,0.26,0.082,0.0295,83.442,1550440,3,723,69,4450
22,3t08w44vk6GJ3gttgYQTbc,True,Symphony No.10 in F sharp (unfinished) - Ed. Deryck Cooke: 2. Scherzo,Gustav Mahler,Mahler: Symphony No.10,"['Gustav Mahler', 'Wiener Philharmoniker', 'Daniel Harding']",0.318,0.122,7,-22.9,1,0.0395,0.943,0.907,0.0986,0.117,98.687,667800,4,273,32,2323
23,10QeQRM2VBCUETSVu2rSEz,True,Symphony No.10 in F sharp (unfinished) - Ed. Deryck Cooke: 3. Purgatorio,Gustav Mahler,Mahler: Symphony No.10,"['Gustav Mahler', 'Wiener Philharmoniker', 'Daniel Harding']",0.199,0.0256,10,-28.414,1,0.0421,0.948,0.223,0.0848,0.169,72.176,240587,4,70,8,727
24,50WgPjsKH8RiH5YVnhKuvg,True,Symphony No.10 in F sharp (unfinished) - Ed. Deryck Cooke: 4. Scherzo,Gustav Mahler,Mahler: Symphony No.10,"['Gustav Mahler', 'Wiener Philharmoniker', 'Daniel Harding']",0.158,0.0826,9,-22.081,0,0.0369,0.928,0.851,0.195,0.0559,93.186,719107,3,352,28,2082
25,37HsMpeOqnJ3Ib4ZSvBI6s,True,Symphony No.10 in F sharp (unfinished) - Ed. Deryck Cooke: 5. Finale,Gustav Mahler,Mahler: Symphony No.10,"['Gustav Mahler', 'Wiener Philharmoniker', 'Daniel Harding']",0.125,0.0296,6,-24.203,1,0.043,0.872,0.814,0.0807,0.0322,80.393,1501627,4,490,63,3617
