,id,is_bjork_inspo,title,artist,album,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1OOiv69qQbBuSAveLjsyIL,False,I Could Go,Oberhofer,Time Capsules II,['Oberhofer'],0.573,0.798,11,-4.665,1,0.0359,0.182,0.0,0.121,0.44,120.021,267440,4
1,55MEbqyxZphjB0beZ7YT0f,False,Birthday,The Sugarcubes,Life's Too Good,['The Sugarcubes'],0.325,0.657,0,-8.203,1,0.0422,0.0276,0.000345,0.0788,0.221,183.156,239533,4
2,4ld9QYEpwDD3m8gGfUn19Z,False,Porno,Arcade Fire,Reflektor,['Arcade Fire'],0.689,0.529,6,-8.057,0,0.0287,0.122,0.121,0.0996,0.638,98.051,362839,4
3,5NvOzItMdV7wqIsNe3GQNX,False,Staying Alive,Cursive,The Ugly Organ,['Cursive'],0.12,0.536,5,-10.108,1,0.0638,0.00899,0.859,0.134,0.0346,176.362,604373,4
4,7nTDegSvJGpENeHv1EhPtx,False,You Look So Fine,Garbage,Version 2.0 (20th Anniversary Deluxe Edition / Remastered),['Garbage'],0.561,0.632,4,-9.084,0,0.0238,0.139,0.0218,0.0803,0.368,103.944,322962,4
5,3m2Zd230K68bC4Qe961d9p,False,Rid Of Me,PJ Harvey,Rid Of Me,['PJ Harvey'],0.715,0.0885,9,-20.682,0,0.0521,0.00485,0.00694,0.155,0.544,125.383,268827,4
6,3HfEgAaf0koxBpBB8NvGda,False,When You Sleep,My Bloody Valentine,Loveless,['My Bloody Valentine'],0.4,0.82,11,-12.281,1,0.0466,0.000295,0.79,0.236,0.135,128.894,251933,4
7,2SpHd4lGMrJMIQDf92V6VP,False,Agoraphobia,Deerhunter,Microcastle,['Deerhunter'],0.579,0.94,4,-6.89,1,0.0375,0.0309,0.862,0.656,0.401,120.097,202640,4
8,5TepVSQ254z3bdQmU8u0GV,False,Deadzone,Ladytron,Ladytron,['Ladytron'],0.628,0.928,7,-5.663,1,0.0491,0.00279,0.432,0.131,0.337,119.999,266140,4
9,0WyKApow72EU4ifm4ubTKq,False,Play Dead,Björk,Scary Halloween Songs,['Björk'],0.507,0.489,10,-12.177,0,0.0278,0.000342,0.114,0.146,0.373,77.339,236707,4
10,3mTd93uhhULetxkq4tzPFW,False,Without You My Life Would Be Boring - Shaken-Up Version,The Knife,Shaken-Up Versions,['The Knife'],0.666,0.802,9,-8.793,1,0.162,0.129,0.0289,0.606,0.785,143.924,284778,4
11,3jExrihWM2P73pm71nKC5V,False,Warm In The Winter,Glass Candy,Warm In The Winter,['Glass Candy'],0.563,0.748,6,-12.482,1,0.0373,0.0328,0.166,0.0993,0.039,127.203,405213,4
12,1o69LFoxxbMjABrZjkpDFi,False,妖星乱舞,Nobuo Uematsu,FINAL FANTASY VI Original Soundtrack,['Nobuo Uematsu'],0.274,0.382,1,-11.272,1,0.0383,0.295,0.737,0.115,0.0588,129.291,1059933,5
13,1z4xjDLLWJgG48Bn8OCxZv,False,Help I'm Alive,Metric,Fantasies,['Metric'],0.565,0.877,5,-4.561,0,0.0614,0.00813,0.00251,0.26,0.389,118.484,285920,4
14,0V11rUAQvYjJ2jJRc0e0BK,False,Sick Muse,Metric,Fantasies,['Metric'],0.432,0.963,9,-4.413,1,0.0901,0.00313,0.00355,0.286,0.46,149.01,257427,4
15,0N2Fm4f5grv19Taxa3g2M3,False,Les and Ray,Le Tigre,Le Tigre,['Le Tigre'],0.727,0.896,0,-5.564,1,0.0856,0.222,0.155,0.0908,0.579,137.948,126093,4
16,0MRylncmeKOjDF14R8r6eK,False,Eau D' Bedroom Dancing,Le Tigre,Le Tigre,['Le Tigre'],0.61,0.65,6,-5.873,1,0.0413,0.00598,0.222,0.0934,0.886,116.724,175533,4
17,7cgQlPVe2km50oQNagseTR,False,Found Out,Caribou,Swim,['Caribou'],0.457,0.828,0,-7.286,1,0.164,0.145,1.5e-05,0.0812,0.194,113.996,198949,4
18,7Dm3dV3WPNdTgxoNY7YFnc,False,The Chain - 2004 Remaster,Fleetwood Mac,Rumours,['Fleetwood Mac'],0.522,0.755,9,-6.95,1,0.0524,0.0517,6.63e-05,0.0781,0.637,151.796,269813,4
19,6vTSyIt0CUXaB6mDWjFsBA,False,I Don't Need Society,D.R.I.,The Dirty Rotten CD,['D.R.I.'],0.379,0.922,5,-5.693,1,0.175,0.00165,0.068,0.256,0.352,119.149,76947,4
20,5773KSWFzg9kCc8yazjbSt,False,Deceptacon,Le Tigre,Le Tigre,['Le Tigre'],0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,184627,4
21,0P6USuYzHP8GdAyNKLkTZi,False,#1 Crush,Garbage,Absolute Garbage,['Garbage'],0.635,0.647,7,-7.055,0,0.0235,0.000256,0.00132,0.358,0.464,94.196,285107,4
22,6xBc0g73afalVYsYUrsc5l,False,Mommy Can I Go out and Kill Tonight - Live,Misfits,Walk Among Us,['Misfits'],0.247,0.852,2,-14.872,1,0.148,0.141,0.000182,0.573,0.11,208.569,118360,4
23,6o43Gi1cX7Nyi6koSkwIBc,False,Navy Light,Labyrinth Ear,Oak,['Labyrinth Ear'],0.747,0.696,11,-9.508,0,0.0465,0.00119,0.5,0.0964,0.891,130.324,187507,4
24,4fKxslsRdjJ9DQVLlT8K4r,False,About You,Computer Magic,Hiding from More of Our Time EP,['Computer Magic'],0.205,0.408,0,-6.129,1,0.0367,0.0925,0.00079,0.106,0.354,203.366,192941,4
25,43o7PowhXdkjBlaGC6GIfg,False,On The Bound,Fiona Apple,When The Pawn...,['Fiona Apple'],0.654,0.577,0,-8.217,0,0.0285,0.0506,0.0499,0.481,0.657,116.903,322000,4
